author,isbn,pages,title
Arundhati Roy,9.78E+12,340 pages,The God of Small Things
C.S. Lewis,9.78E+12,223 pages,The Screwtape Letters
John Grogan,9.78E+12,291 pages,Marley and Me: Life and Love With the World's Worst Dog
Cassandra Clare,9.78E+12,502 pages,Clockwork Prince
Thomas   Harris,9.78E+12,338 pages,The Silence of the Lambs
Cassandra Clare,9.78E+12,424 pages,City of Fallen Angels
Scott Westerfeld,9.78E+12,425 pages,Uglies
Kiera Cass,9.78E+12,336 pages,The Selection
Gaston Leroux|Alexander Teixeira de Mattos,9.78E+12,360 pages,The Phantom of the Opera
P.C. Cast|Kristin Cast,9.78E+12,306 pages,Marked
Gail Carson Levine,9.78E+12,232 pages,Ella Enchanted
Haruki Murakami|Jay Rubin,9.78E+12,607 pages,The Wind-Up Bird Chronicle
Viktor E. Frankl|Harold S. Kushner|William J. Winslade|Isle Lasch,9.78E+12,165 pages,Man's Search for Meaning
William Paul Young,9.78E+12,252 pages,The Shack
Hunter S. Thompson|Ralph Steadman,9.78E+12,204 pages,Fear and Loathing in Las Vegas
José Saramago|Giovanni Pontiero,9.78E+12,326 pages,Blindness
Alex Haley,9.78E+12,729 pages,Roots: The Saga of an American Family
George R.R. Martin,9.78E+12,784 pages,A Clash of Kings
Bill Watterson,9.78E+12,1456 pages,The Complete Calvin and Hobbes
Robert A. Heinlein,9.78E+12,528 pages,Stranger in a Strange Land
Scott O'Dell,9.78E+12,184 pages,Island of the Blue Dolphins
Ernest Hemingway,9.78E+12,471 pages,For Whom the Bell Tolls
Mary Ann Shaffer|Annie Barrows,9.78E+12,277 pages,The Guernsey Literary and Potato Peel Pie Society
Suzanne Collins,9.78E+12,391 pages,Catching Fire
Stephen King,9.78E+12,592 pages,The Green Mile
Isabel Allende|Magda Bogin,9.78E+12,448 pages,The House of the Spirits
Lauren Oliver,9.78E+12,441 pages,Delirium
Stieg Larsson|Reg Keeland,9.78E+12,563 pages,The Girl Who Kicked the Hornet's Nest
Wally Lamb,9.78E+12,897 pages,I Know This Much Is True
Janet Fitch,9.78E+12,446 pages,White Oleander
Anne Rice,9.78E+12,765 pages,The Vampire Lestat
John Green,9.78E+12,305 pages,Paper Towns
William Shakespeare,9.78E+12,314 pages,Othello
